                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.105,                  3.435,                 4.1957,                 0.0047,                0.62326,                0.09709,                0.02712,                 2.8575,                 3.5276,                 4.0921,               0.070405,              0.0032883,              0.0032883
                      1,                 3.1263,                 3.3903,                 4.1236,                0.00444,                0.66047,                0.02096,                 0.0068,                  2.856,                 3.5971,                 4.1108,               0.039968,              0.0061846,              0.0061846
                      2,                 3.0973,                 3.3703,                 4.0521,                0.09543,                 0.1814,                0.04264,                0.01336,                 3.5687,                 5.1365,                 17.871,              0.0090914,              0.0086409,              0.0086409
                      3,                 3.1208,                 3.3367,                 4.0025,                0.00648,                0.62326,                0.04257,                0.01242,                 2.9969,                 4.2925,                 5.6173,                0.00802,                0.00802,                0.00802
                      4,                 3.1175,                 3.2806,                 3.9287,                0.01131,                0.31163,                0.00788,                0.00322,                 3.0689,                 25.159,                  6.067,                0.00802,                0.00802,                0.00802
                      5,                 2.7728,                 3.4519,                 3.7595,                0.12263,                0.19503,                0.05309,                0.01887,                 2.8428,                 3.8614,                 4.0355,                0.00736,                0.00736,                0.00736
                      6,                 2.7847,                 3.2368,                 3.6487,                0.14728,                0.09767,                0.07377,                0.02377,                 2.7534,                  3.194,                 3.6153,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.7224,                 3.0912,                 3.5204,                0.14283,                0.19065,                0.07482,                0.02762,                 2.7829,                  3.093,                 3.5212,                0.00604,                0.00604,                0.00604
                      8,                 2.7318,                 3.0058,                 3.4679,                0.19122,                0.19535,                0.09393,                0.03372,                 2.7401,                 3.0863,                 3.4078,                0.00538,                0.00538,                0.00538
                      9,                 2.7684,                 2.9663,                 3.4667,                0.20861,                0.20465,                0.11918,                 0.0421,                 2.7591,                 2.9997,                 3.4645,                0.00472,                0.00472,                0.00472
                     10,                 2.7192,                 2.8318,                 3.4361,                0.28608,                 0.1814,                0.16046,                0.06678,                 2.7822,                 2.8118,                 3.4338,                0.00406,                0.00406,                0.00406
                     11,                  2.727,                  2.832,                 3.4305,                0.19311,                0.19535,                0.11851,                0.04937,                 2.7514,                 2.7893,                 3.4075,                 0.0034,                 0.0034,                 0.0034
                     12,                 2.7121,                 2.7342,                 3.4092,                0.22719,                0.23256,                0.14166,                0.05242,                 2.7163,                 2.6681,                 3.3734,                0.00274,                0.00274,                0.00274
                     13,                 2.6674,                 2.6839,                 3.3807,                0.27822,                0.21395,                0.18036,                0.06531,                 2.7081,                 2.6983,                 3.3915,                0.00208,                0.00208,                0.00208
                     14,                 2.6498,                 2.6577,                 3.3513,                0.28831,                0.22326,                0.17542,                0.06796,                 2.7003,                 2.6884,                  3.387,                0.00142,                0.00142,                0.00142
