                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77611,                 1.9615,                 1.2233,                0.86195,                0.43561,                0.64587,                0.50855,                0.68679,                 2.2846,                 1.1149,                 0.0757,                 0.0027,                 0.0027
                      1,                0.79027,                 1.4187,                 1.2172,                0.79885,                0.62791,                0.71961,                0.52801,                0.84311,                 2.0554,                 1.2558,               0.050464,              0.0054637,              0.0054637
                      2,                0.81198,                 1.2907,                 1.2181,                0.75045,                0.55949,                0.61543,                0.41264,                  1.092,                 1.9241,                 1.4672,                0.02519,              0.0081904,              0.0081904
                      3,                0.88585,                 1.3035,                 1.2662,                0.59649,                0.42326,                0.43953,                0.22483,                 1.4655,                 2.2702,                  1.928,               0.009802,               0.009802,               0.009802
                      4,                0.92366,                 1.2917,                 1.2883,                0.68092,                0.55583,                0.60046,                 0.3576,                 1.2616,                 2.0584,                 1.6786,               0.009802,               0.009802,               0.009802
                      5,                0.91797,                 1.2728,                 1.3063,                0.66202,                0.60129,                 0.6196,                0.39803,                 1.2415,                  1.918,                 1.7969,               0.009736,               0.009736,               0.009736
                      6,                0.91637,                 1.2847,                 1.2947,                0.57381,                0.52558,                0.52446,                0.29458,                 1.3996,                 2.6608,                 1.8562,                0.00967,                0.00967,                0.00967
                      7,                0.96406,                 1.2205,                 1.3271,                0.55156,                0.44651,                 0.4291,                0.23103,                  1.613,                 2.1141,                 1.9181,               0.009604,               0.009604,               0.009604
                      8,                0.93325,                 1.2091,                 1.3157,                0.39802,                0.27907,                0.22245,                 0.0898,                 2.1204,                 3.4218,                 3.2337,               0.009538,               0.009538,               0.009538
                      9,                0.93318,                 1.1972,                 1.2994,                0.58487,                0.56744,                0.53135,                0.31353,                 1.3673,                 1.9492,                 1.8196,               0.009472,               0.009472,               0.009472
                     10,                0.95075,                 1.1613,                 1.3242,                0.62476,                0.55814,                0.60078,                0.38185,                  1.307,                 1.7254,                 1.7413,               0.009406,               0.009406,               0.009406
                     11,                0.94605,                 1.1523,                 1.2989,                0.77446,                0.57496,                0.62952,                0.39302,                 1.3022,                 1.6957,                 1.7339,                0.00934,                0.00934,                0.00934
                     12,                0.89938,                 1.0733,                 1.2838,                  0.744,                0.55421,                0.62892,                0.42536,                   1.15,                 1.5864,                 1.4988,               0.009274,               0.009274,               0.009274
                     13,                0.92968,                 1.0801,                 1.2767,                0.80154,                0.65581,                0.73207,                0.48724,                 1.1092,                 1.2911,                 1.4675,               0.009208,               0.009208,               0.009208
                     14,                0.84748,                 1.0027,                 1.2541,                0.73356,                0.60465,                 0.6712,                0.46463,                 1.1267,                 1.4196,                 1.4911,               0.009142,               0.009142,               0.009142
                     15,                0.88284,                  1.011,                 1.2788,                0.81094,                0.55349,                 0.7044,                0.47084,                 1.1746,                 1.3595,                 1.5498,               0.009076,               0.009076,               0.009076
                     16,                0.87785,                 1.0368,                 1.2687,                0.78261,                0.64651,                0.72116,                 0.5129,                 1.0904,                 1.2716,                 1.4574,                0.00901,                0.00901,                0.00901
                     17,                0.85646,                0.96003,                 1.2665,                0.78689,                0.62791,                0.68598,                 0.4561,                  1.255,                 1.4175,                 1.6699,               0.008944,               0.008944,               0.008944
                     18,                0.82842,                0.96022,                 1.2496,                0.74974,                0.63721,                0.66155,                0.37016,                 1.3672,                 1.5159,                 1.9769,               0.008878,               0.008878,               0.008878
                     19,                0.83638,                0.95914,                 1.2463,                0.81492,                0.55296,                0.63836,                0.39794,                  1.346,                 1.4727,                  1.766,               0.008812,               0.008812,               0.008812
                     20,                0.84876,                0.93567,                 1.2363,                0.73927,                0.69767,                0.71475,                0.48997,                 1.1271,                 1.2183,                 1.5016,               0.008746,               0.008746,               0.008746
                     21,                0.84686,                0.92238,                 1.2628,                0.73583,                0.64651,                0.69923,                0.43847,                 1.2406,                 1.4801,                 1.5671,                0.00868,                0.00868,                0.00868
                     22,                0.82552,                0.94129,                 1.2371,                0.84501,                0.65116,                0.75369,                0.49042,                 1.2551,                 1.2537,                 1.5791,               0.008614,               0.008614,               0.008614
                     23,                0.82864,                0.91236,                 1.2064,                0.75716,                0.66709,                0.74743,                  0.491,                 1.1605,                 1.2646,                 1.4971,               0.008548,               0.008548,               0.008548
                     24,                0.82083,                0.88849,                 1.2173,                0.81495,                0.67595,                 0.7545,                0.53391,                 1.0325,                 1.1029,                 1.4016,               0.008482,               0.008482,               0.008482
                     25,                0.79065,                 0.8553,                 1.2018,                0.85657,                0.65116,                0.76782,                0.53302,                 1.0238,                 1.1918,                 1.3687,               0.008416,               0.008416,               0.008416
                     26,                  0.782,                0.84991,                 1.2023,                 0.8744,                0.68001,                0.75854,                  0.544,                 1.0222,                 1.2059,                 1.3838,                0.00835,                0.00835,                0.00835
